12A 13A 15A 18A 20A 22A 25A 25B 30A 30B 35A 35B 35C 40A 40B 40C
  8.18e-09 2.15e-12 5.74e-13 7.71e-17 1.38e-20 2.35e-12 1.69e-10 2.27e-10 2.97E-09 3.45E-09 1.50E-85 1.80E-09 1.73E-09 7.68E-86 4.31E-11 4.87E-10 
  7.12e-09 8.2e-18 1.02e-17 2.56e-17 5.81e-21 2.19e-16 2.42e-12 4.87e-11 4.19E-11 1.16E-10 5.90E-90 9.73E-10 1.20E-09 1.77E-90 6.40E-13 3.16E-12 
  3.89e-10 4.57e-12 9.8e-16 1.63e-28 2.79e-32 4e-07 2.18e-28 4.21e-06 8.39E-27 1.01E-05 1.51E-85 4.13E-23 7.07E-07 2.40E-85 2.54E-23 1.63E-07 
  7.41e-08 4.68e-08 4.11e-09 1.28e-24 1.02e-28 2.72e-07 5.17e-20 2.84e-07 4.95E-19 2.35E-06 1.14E-83 2.70E-19 6.88E-07 1.63E-83 1.94E-19 5.49E-07 
  3.14e-06 2.19e-05 9.34e-06 7.35e-23 6.51e-27 4.77e-06 9.66e-18 6.32e-06 1.19E-16 3.05E-05 3.16E-85 3.72E-17 1.96E-05 2.53E-85 2.63E-17 1.29E-05 
  2.11e-08 8.5e-08 2.29e-08 9.02e-22 9.64e-26 2.74e-08 1.1e-15 8.36e-09 1.57E-14 2.71E-07 1.39E-88 5.75E-15 2.68E-08 5.67E-89 1.05E-15 7.49E-08 
  4.64e-13 3.71e-12 3.99e-13 3.61e-22 3.92e-26 7.62e-13 7.5e-16 1.33e-13 8.88E-15 8.25E-11 1.21E-91 4.37E-15 5.22E-13 3.45E-92 7.49E-16 3.48E-12 
  2.55e-08 2.39e-13 3.35e-14 1.93e-17 5.23e-21 3.33e-13 2.6e-11 6.28e-11 3.65E-10 5.63E-10 6.84E-90 1.18E-09 1.29E-09 2.09E-90 5.45E-12 8.40E-11 
  2.82e-09 6.16e-18 4.63e-18 1.9e-18 1.92e-22 1e-16 9.78e-13 3.6e-12 1.13E-11 2.25E-11 5.41E-97 5.76E-11 6.70E-11 1.46E-98 1.36E-13 1.56E-12 
  3.58e-17 1.21e-19 5.54e-28 1.37e-40 6.3e-45 5.87e-10 1.2e-41 3.23e-08 7.85E-41 1.36E-08 0.00E+00 5.82E-34 1.27E-10 0.00E+00 3.91E-35 6.78E-12 
  1.47e-29 4.97e-31 6.44e-46 5.87e-50 2.18e-55 5.62e-16 1.7e-48 1.75e-13 8.98E-50 5.49E-15 0.00E+00 3.10E-43 3,14E-18 0.00E+00 2.00E-45 1.98E-20 
  1.09e-05 4.35e-05 9.02e-06 7.43e-28 4.77e-32 1.13e-05 3.19e-22 6.04e-06 3.73E-21 4.06E-05 9.41E-92 2.22E-21 7.15E-06 4.51E-92 1.55E-21 3.90E-05 
  3.65e-09 4.27e-09 1.64e-10 4.37e-28 1.07e-32 5.38e-09 1.32e-22 1.95e-09 1.34E-21 2.41E-08 6.61E-96 1.81E-21 1.00E-09 1.61E-96 4.98E-22 7.82E-09 
  4.45e-09 3.48e-08 2.82e-09 2.23e-23 9.25e-27 5.42e-09 1.88e-16 1e-09 2.11E-15 4.90E-07 0.00E+00 1.79E-15 3.16E-09 0.00E+00 1.33E-16 2.73E-08 
  1.8e-12 8.39e-12 5.06e-13 1.04e-22 4.39e-26 2.8e-12 1.44e-15 9.05e-14  1.79E-14 1.16E-09 0.00E+00 8.37E-15 3.75E-13 0.00E+00 1.37E-15 1.80E-11 
  2.69e-08 2.18e-13 7.37e-15 7.58e-18 1.9e-21 5.06e-14 4.27e-11 5.38e-11 6.47E-10 7.75E-10 2.36E-96 6.44E-10 6.29E-10 0.00E+00 9.06E-12 2.54E-10 
  3e-08 3.09e-15 3.94e-15 6.1e-17 6.66e-21 3.74e-14 5.47e-10 7.36e-10 9.50E-09 1.00E-08 0.00E+00 6.11E-09 5.85E-09 0.00E+00 1.00E-10 1.21E-09 
  10.7 11.8 13.6 14.7 16 20.6 18.8 23.2 22.0 28.6 22.4 27.6 33.3 23.6 28.1 38.2 
