12A 13A 15A 18A 20A 22A 25A 25B 30A 30B 35A 35B 35C 40A 40B 40C
 7.19E-05 5.55E-04 1.31E-03 1.47E-10 1.09E-10 2.43E-03 8.73E-10 1.88E-03 1.18E-08 5.88E-03 9.62E-14 8.74E-04 5.08E-03 1.43E-13 1.4611-08 5.66E-03
 2.49E-02 3.37E-02 6.81E-02 2.50E-09 1.58E-09 1.65E-01 1.54E-09 2.31E-01 1.56E-08 1.23E-01 6.65E-10 1.69E-03 2.09E-01 6.11E-10 2.55E-08 3.42E-01 
 7.92E-05 1.95E-04 4.03E-04 6.70E-11 8.00E-11 3.93E-04 3.69E-10 6.60E-04 5.46E-09 8.02E-04 1.91E-12 4.89E-05 1.02E-03 1.80E-12 1.62E-09 1.31E-03 
 9.27E-05 2.45E-04 4.33E-04 2.28E-10 3.10E-10 2.20E-04 8.24E-10 3.11E-04 1.37E-08 6.27E-04 3.65E-10 3.11E-05 5.60E-04 4.16E-10 1.77E-09 6.39E-04 
4.16E-05 7.91E-05 1.62E-04 8.34E-11 1.10E-10 3.51E-04 1.43E-09 3.23E-04  3.43E-08 2.58E-04 2.19E-14 5.91E-06 3.12E-04 2.33E-14 9.86E-10 4.34E-04 
8.52E-03 1.34E-02 2.58E-02 8.48E-12 1.08E-11 1.09E-01 1.26E-10 1.06E-01  7.74E-09 4.56E-02 1.17E-13 2.55E-06 8.96E-02 1.41E-13 1.79E-10 1.62E-01 
2.54E-05 4.03E-05 9.02E-05 2.66E-13 3.48E-13 2.87E-04 1.62E-11 2.23E-04  3.33E-10 1.32E-04 1.25E-13 4.05E-08 2.04E-04 1.47E-13 3.67E-12 2.69E-04 
1.15E-04 1.06E-04 2.26E-04 4.94E-11 5.66E-11 4.54E-04 3.84E-10 5.19E-04  5.38E-09 1.36E-04 1.16E-13 1.94E-07 2.21E-04 1.34E-13 9.13E-11 3.05E-04 
1.29E-07 4.65E-08 1.05E-07 1.04E-11 1.52E-11 2.65E-07 2.25E-10 2.49E-07  1.98E-09 1.08E-07 1.18E-16 6.81E-09 1.57E-07 8.18E-17 6.07E-12 2.13E-07 
8.96E-07 5.45E-09 1.10E-08 5.95E-11 2.10E-11 1.08E-08 1.54E-09 1.27E-08  5.02E-08 5.93E-08 8.81E-19 4.02E-08 4.73E-08 3.61E-19 1.58E-10 8.90E-09 
 9.82E-06 1.17E-05 3.47E-05 4.57E-13 6.40E-13 2.01E-04 2.06E-11 1.05E-04 1.66E-09 3.56E-05 9.07E-13 2.07E-08 5.80E-05 1.05E-12 4.14E-12 8.80E-05 
 7.92E-08 1.25E-07 2.93E-07 1.61E-14 2.14E-14 1.71E-06 8.42E-13 9.00E-07 7.95E-11 3.87E-07 6.97E-16 1.09E-10 6.37E-07 4.82E-16 1.67E-13 9.74E-07 
 1.79E-07 3.09E-08 1.34E-07 5.68E-10 7.21E-10 9.31E-07 1.83E-10 3.81E-07 5.94E-09 1.34E47 8.86E-16 5.75E-09 2.25E-07 4.33E-16 1.95E-09 2.69E-07  
 1.56E-03 2.91E-03 4.81E-03 1.76E-09 2.44E-09 2.40E-02 3.27E-09 2.00E-02 4.72E-09 9.04E-03 5.52E-09 8.21E-09 1.82E-02 6.21E-09 9.50E-09 3.27E-02 
 1.92E-06 8.27E-07 4.35E-06 3.35E-12 4.44E-12 4.90E-05 5.27E-13 1.50E-05 2.11E-13 6.49E-06 2.81E-13 1.81E-11 1.13E-05 1.941.,-13 1.19E-11 1.48E-0
 3.72E-05 7.92E-06 7.13E-05 2.17E-10 1.69E-10 9.89E-04 1.50E-10 2.67E-04 4.92E-09 4.50E-05 2.27E-17 4.81E-09 7.72E-05 5.51E-18 5.71E-10 1.20E-04 
 5.21E-08 4.80E-11 1.03E-10 4.23E-12 5.62E-12 1.03E-09 1.08E-10 4.91E-10 3.13E-09 3.58E-09 3.39E-26 2.17E-09 2.37E-09 1.12E-26 6.40E-11 4.60E-10 
1.20E-05 1.18E-05 2.44E-05 6.34E-12 8.27E-12 3.37E-04 4.45E-14 7.71E-05 5.85E-13 3.14E-05 1.50E-18 5.50E-10 4.78E-05 1.31E-18 6.86E-11 7.21E-05
3.63E-09 1.06E-09 1.13E-08 7.00E-13 9.24E-13 1.67E-07 5.01E-15 4.01E-08 6.09E-14 1.16E-08 1.72E-22 2.87E-11 1.92E-08 1.10E-22 7.38E-12 2.51E-08 
6.23E-08 1.28E-10 1.01E-09 4.25E-12 9.84E-13 1.86E-08 1.40E-11 4.06E-09 3.50E-10 1.71E-09 8.90E-26 3.91E-10 2.60E-09 3.33E-26 1.29E-11 2.64E-09 
 1.42E-03 3.01E-03 4.19E-03 1.53E-16 1.67E-16 2.37E-02 1.15E-16 1.75E-02 1.38E-15 8.59E-03 1.17E-17 2.64E-11 1.75E-02 1.17E-17 1.30E-15 3.08E-02 
 1.04E-06 1.14E-06 1.63E-06 1.05E-17 9.33E-18 2.38E--05 4.27E-16 4.75E-06 7.01E-15 2.64E-06 7.72E-22 2.55E-12 4.22E-06 4.36E-22 1.04E-15 5.51E-06 
 2.09E-06 1.21E-06 2.52E-06 3.56E-13 3.54E-13 4.44E-05 2.55E-11 6.77E-06 5.23E-10 2.13E-06 8.52E-26 4.70E-10 2.58E-06 2.72E-26 1.74E-11 3.87E-06 
 5.04E-08 1.79E-07 2.13E-07 1.03E-13 8.72E-14 3.70E-07 6.78E-12 2.03E-07 1.55E-10 3.90E-07 4.04E-26 1.14E-10 7.57E-07 9.38E-27 5.35E-12 2.19E-07 
 1.35E-08 2.58E-09 4.78E-09 3.62E-13 2.24E-13 1.17E-08 3.97E-11 4.74E-09 9.66E-10 8.68E-09 1.58E-27 6.02E-10 1.11E-08 3.38E-28 3.43E-11 4.00E-09 
 5.87E-09 1.99E-12 2.42E-12 8.03E-14 5.24E-14 3.31E-11 2.34E-11 4.11E-11 4.35E-10 4.73E-10 1.67E-31 3.29E-10 3.23E-10 2.05E-32 4.91E-13 1.47E-11 
 1.47E-08 6.33E-14. 2.06E-13 3.57E-14 4.32E-14 1.03E-11 6.72E-11 9.54E-11 1.40E-09 1.48E-09 1.51E-33 8.73E-10 8.48E-10 1.20E-34 8.49E-14 3.45E-12 
 7.05E-09 5.04E-15 5.21E-15 7.75E-15 1.37E-14 3.04E-13 1.20E-11 2.34E-11 4.37E-11 6.24E-11 6.30E-38 4.42E-10 4.37E-10 2.92E-39 8.98E-15 4.54E-14 
 6.28E-08 3.03E-14 5.90E-15 8.12E-15 6.18E-15 5.94E-13 2.20E-10 3.12E-10 2.72E-09 2.88E-09 7.40E-38 2.95E-09 2.97E-09 4.11E-38 1.66E-15 3.94E-15 
 2.38E-07 6.66E-07 3.64E-07 4.70E-19 8.23E-20 1.47E-06 1.16E-17 3.28E-07 2.54E-16 1.18E-06 6.81E-30 3.92E-14 3.95E-07 6.80E-32 5.85E-17 1.27E-06 
 1.43E-07 4.13E-07 1.24E-06 6.00E-15 5.81E-15 1.06E-06 4.14E-13 1.49E-06 3.83E-11 6.61E-07 4.42E-26 1.95E-11 3.14E-06 1.29E-26 2.89E-12 2.10E-07 
 5.96E-05 6.20E-05 7.47E-05 7.58E-20 1.91E-20 1.05E-04 6.56E-19 6.94E-05 4.63E-17 1.88E-04 9.29E-33 1.21E-14 1.88E-04 1.35E-33 1.68E-17 2.44E-04 
 6.85E-07 1.18E-06 1.79E-06 5.42E-19 1.26E-19 5.01E-06 7.96E-19 1.84E-06 1.10E-16 6.28E-06 5.93E-32 4.09E-15 2.10E-06 1.41E-32 3.91E-16 1.54E-06 
 3.07E-06 3.06E-06 2.64E-06 3.90E-14 1.71E-14 2.07E-05 1.90E-14 3.04E-06 1.09E-11 2.87E-06 2.02E-26 3.16E-11 2.18E-06 1.19E-26 1.18E-11 2.45E-06 
 4.80E-07 1.04E-06 1.26E-06 2.32E-14 5.62E-15 1.28E-06 6.02E-12 8.37E-07 1.42E-10 1.35E-06 1.92E-29 3.35E-11 2.42E-06 8.08E-30 4.76E-12 2.05E-06 
 4.48E-09 9.12E-09 3.38E-08 4.58E-14 8.95E-15 3.57E-08 9.99E-12 8.33E-08 3.25E-10 3.34E-08 4.73E-30 5.38E-11 3.49E-07 2.25E-30 1.11E-11 1.41E-08 
 1.18E-08 2.90E-10 6.37E-10 7.75E-14 8.32E-15 6.91E-10 2.12E-11 7.37E-10 4.99E-10 9.93E-10 1.30E-27 2.65E-10 2.13E-09 1.40E-27 1.54E-11 4.43E-10 
 1.41E-08 3.63E-12 1.06E-11 1.34E-13 1.15E-14 1.03E-10 1.06E-10 3.10E-10 2.38E-09 2.88E-09 3.73E-31 9.64E-10 1.09E-09 2.15E-31 9.87E-11 1.09E-09 
2.45E-07 2.49E-07 8.25E-08 3.57E-20 1.95E-21 9.88E-07 2.71E-18 4.27E-07 5.21E-17 1.48E-06 4.93E-34 1.71E-15 3.14E-07 3.75E-36 1.06E-17 1.44E-06 
3.59E-06 6.82E-06 1.31E-05 2.52E-19 1.31E-20 7.50E-06 2.14E-17 1.62E-05 5.68E-16 9.36E-06 3.99E-34 3.96E-14 5.55E-05 3.88E-35 9.79E-17 1.47E-05 
2.19E-06 4.22E416 4.72E-06 2.34E-18 8.86E-20 4.33E-06 4.06E-16 5.52E-06 7.76E-15 4.14E-06 4.07E-33 3.06E-12 6.73E-06 1.27E-33 1.23E-15 8.25E-06 
6.00E-10 7.46E-10 1.74E-09 6.23E-18 1.19E-19 1.43E-08 1.10E-15 5.63E-09 2.08E-14 1.38E-09 2.46E-28 2.88E-12 1.35E-09 3.66E-28 3.43E-15 2.45E-09 
7.07E-09 3.94E-09 8.41E-09 2.10E-14 3.40E-15 6.75E-09 9.82E-12 6.50E-09 2.07E-10 4.35E-09 9.45E-30 2.54E-10 9.58E-09 1.55E-29 9.25E-12 3.73E-09 
 1.30E-04 1.60E-04 1.73E-04 4.08E-24 9.65E-26 2.88E-04 2.86E-22 3.28E-04 4.87E-21 4.66E-04 1.50E-39 7.88E-17 5.27E-04 1.14E-40 3.48E-21 7.56E-04 
