Isotope		Decay Product
^85^Kr		^85^Rb
^86^Kr		^86^Kr
^87^Kr		^87^Rb
^79^Rb		^79^Br
^80^Rb		^80^Kr
^81^Rb		^81^Br
^82^Rb		^82^Kr
^83^Rb		^83^Kr
^84^Rb		^84^Kr
^85^Rb		^85^Rb
^86^Rb		^86^Kr
^87^Rb		^87^Rb
^88^Rb		^88^Sr
^84^Sr		^84^Sr
^85^Sr		^85^Rb
^86^Sr		^86^Sr
^87^Sr		^87^Sr
^88^Sr		^88^Sr
^89^Sr		^89^Y
^90^Sr		^90^Zr
^91^Sr		^91^Zr
^85^Y 		^85^Rb 
^86^Y 		^86^Sr
^87^Y 		^87^Sr
^88^Y 		^88^Sr
^89^Y 		^89^Y 
^90^Y 		^90^Zr
^91^Y 		^91^Zr
^90^Zr		^90^Zr
^91^Zr		^91^Zr
^92^Zr		^92^Zr
^93^Zr		^93^Nb
^94^Zr		^94^Zr
^95^Zr		^95^Mo
^96^Zr		^96^Zr
^97^Zr		^97^Mo
^91^Nb		^91^Zr
^92^Nb		^92^Zr
^93^Nb		^93^Nb
^94^Nb		^94^Mo
^95^Nb		^95^Mo
^96^Nb		^96^Mo
^97^Nb		^97^Mo
^92^Mo		^92^Mo
^93^Mo		^93^Nb
^94^Mo		^94^Mo
^95^Mo		^95^Mo
^96^Mo		^96^Mo
^97^Mo		^97^Mo
^98^Mo		^98^Mo
